L			V_Ratio		Volume		Surface		Surface/Volume
29.81   	0.01107 	2700    	3.508e+004	20.11   
33.7    	0.005638	2870    	3.862e+004	20.75   
36.32   	0.002692	2965    	4.059e+004	20.95   
40.54   	0.001088	3012    	4.157e+004	20.81   
45.71   	0.0002568	3026    	4.186e+004	20.69   
49.45   	5.591e-005	3029    	4.194e+004	20.77   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	19.78   	780     	1030    	1.321   
5.827   	0.1876  	1001    	2653    	7.33    
8.08    	0.1393  	1291    	6614    	13.67   
13.8    	0.07227 	1689    	1.258e+004	14.98   
17.91   	0.05288 	2165    	2.071e+004	17.09   
21.86   	0.03586 	2636    	2.895e+004	17.5    
25.94   	0.02286 	3053    	3.695e+004	19.16   
29.81   	0.01404 	3388    	4.358e+004	19.81   
33.7    	0.007153	3605    	4.8e+004	20.43   
36.32   	0.003417	3724    	5.047e+004	20.62   
40.54   	0.00138 	3784    	5.17e+004	20.49   
45.71   	0.0003258	3802    	5.206e+004	20.4    
49.45   	7.095e-005	3807    	5.216e+004	20.5    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.69   	682.4   	795.1   	1.165   
5.518   	0.1779  	873.8   	1867    	5.599   
8.117   	0.08983 	1062    	4034    	11.5    
13.59   	0.04539 	1306    	7178    	12.92   
17.69   	0.03041 	1573    	1.138e+004	15.72   
21.61   	0.017   	1791    	1.479e+004	15.63   
25.96   	0.01035 	1980    	1.825e+004	18.26   
29.83   	0.005237	2106    	2.068e+004	19.47   
33.17   	0.002603	2182    	2.228e+004	20.89   
37.69   	0.001088	2223    	2.314e+004	20.94   
40.7    	0.0002605	2234    	2.338e+004	20.99   
45.99   	5.948e-005	2238    	2.344e+004	20.84   
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.46   	688.3   	906.5   	1.317   
5.772   	0.1766  	893.4   	2257    	6.587   
8.027   	0.1196  	1139    	5600    	13.59   
13.79   	0.05943 	1467    	1.047e+004	14.89   
17.84   	0.04502 	1869    	1.743e+004	17.3    
21.88   	0.02852 	2244    	2.408e+004	17.7    
25.94   	0.01908 	2592    	3.08e+004	19.31   
29.81   	0.01167 	2871    	3.641e+004	20.14   
33.99   	0.005746	3048    	4.008e+004	20.76   
36.28   	0.002959	3151    	4.223e+004	20.74   
40.5    	0.001157	3201    	4.327e+004	20.79   
45.8    	0.0002737	3216    	4.358e+004	20.67   
49.49   	8.126e-005	3222    	4.368e+004	20.25   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	17.87   	693     	994.9   	1.436   
5.963   	0.1763  	909.2   	2574    	7.303   
9.076   	0.1042  	1176    	6352    	14.16   
13.78   	0.06465 	1531    	1.18e+004	15.34   
17.88   	0.04692 	1952    	1.917e+004	17.5    
22      	0.03154 	2372    	2.672e+004	18.01   
25.91   	0.02286 	2788    	3.485e+004	19.52   
29.86   	0.01391 	3121    	4.157e+004	20.18   
33.9    	0.007352	3346    	4.623e+004	20.69   
37.44   	0.003828	3488    	4.916e+004	20.64   
41.39   	0.00155 	3558    	5.061e+004	20.7    
44.92   	0.0004366	3582    	5.109e+004	20.73   
49.87   	9.076e-005	3587    	5.121e+004	20.85   
L			V_Ratio		Volume		Surface		Surface/Volume
